HTI,Haiti,North America,2019,3843,56,20,38,42,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HND,Honduras,North America,2019,2853,58,21,42,36,68,10,22,-1,-1,-1,74,6,20,-1,-1,-1,65,-1,-1,52,-1,-1,82,-1,-1,-1,-1,-1,23,66,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,19,29,52,-1,-1,-1,5,-1,-1,21,-1,-1
HUN,Hungary,Europe,2019,1519,72,24,25,51,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
IND,India,Asia,2019,376155,34,20,33,47,67,27,6,72,21,7,67,25,8,-1,-1,-1,67,25,8,75,18,6,64,19,16,71,15,14,63,19,18,-1,-1,-1,64,19,17,73,9,18,53,23,25,58,26,16,52,22,26,-1,-1,-1,53,22,25,53,29,17
IDN,Indonesia,Asia,2019,65269,56,15,43,43,73,11,17,-1,-1,0,-1,-1,0,70,2,27,72,11,17,75,11,14,40,46,13,-1,-1,-1,-1,-1,-1,28,53,19,37,50,13,50,34,16,59,10,31,-1,-1,-1,-1,-1,-1,57,5,38,59,11,30,57,10,33
IRQ,Iraq,Asia,2019,12794,71,16,45,39,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,19,-1,-1,9,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,18,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ISR,Israel,Asia,2019,2217,93,22,41,36,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
ITA,Italy,Europe,2019,9085,71,19,31,50,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
JAM,Jamaica,North America,2019,638,56,20,43,37,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,96,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,96,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,97,-1,-1
JOR,Jordan,Asia,2019,3170,91,15,44,40,93,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,66,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KEN,Kenya,Africa,2019,20280,28,22,41,37,-1,-1,-1,-1,-1,-1,72,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,50,46,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1
KIR,Kiribati,Oceania,2019,41,55,21,41,37,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KWT,Kuwait,Asia,2019,780,100,16,40,44,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
KGZ,Kyrgyzstan,Asia,2019,1776,37,30,29,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
